start	end	text
197920	200680	You want to stay towards the right hand side through the kink and focus on your entry
200680	202160	into turn seven.
202160	204160	Straight in the car and place it next to the curb.
204240	208200	Just before the curb begins, change down to second and roll off the brake, turning in
208200	211600	early and letting the camber of the corner slow the car down and hold you on that racing
211600	212600	line.
212600	215760	At the apex, you want to be fully over the red and white curb, but watch out for the green
215760	218160	area as it can be a bit unpredictable.
218160	221920	Get back on the power at the apex and use the green runoff area on the exit, also cutting
221920	224120	the weak curbs in the direction change.
224120	227520	Stay left and at the end of the entry curbing, lift off the throttle.
227520	230600	You don't actually need to brake here when hot lapping, but might do with a heavy fuel
230600	233720	load and a car that's maybe less suited to these style of corners.
233720	237200	Turn in and use a wee bit of power when required in order to keep the car on the line and
237200	238200	in shape.
238200	242320	Aim to hit the apex midway through the corner, just touching the red and white curb.
242320	246160	Try to carry as much speed as possible and use all of the exit curb and run off.
246160	251760	Drift back to the right and brake comfortably before the 100m boat.
251760	255280	Shift all the way down to first and get over the red and white curbing on the apex.
255280	258360	Get back on the power watching for oversteer and use the exit curb.
258360	260680	For turn 11, some cars can cut more than others.
260680	263800	In this lap, I stuck to the red and white curb and avoided the green section as it can
263800	267440	sometimes throw you off, but see how your car handles it when you try it.
267440	271320	Straighten the steering and get on the brakes instantly, changing down to second.
271320	274760	Try to hold a nice tight line through here, getting on the power nice and early and using
274760	276680	all of the available space on the exit.
276680	278200	Stay out there for turn 13.
278200	281440	Again, there are a lack of reference points here, but this one feels fairly straightforward
281440	283240	when you try it for yourself.
283240	287520	Brake, change down to second and get the car in over the red and white apex curb, avoiding
287520	289640	that sausage curb at all costs.
289640	292560	Straighten the power again and haul the car back to the right.
292560	295440	On this occasion, I was slightly further to the left and therefore was compromised
295440	298800	since the chicane, so try and be even further over if you can.
298800	302200	Again, there aren't many reference points here, but as you can see the corner, it's a
302200	304400	bit easier to judge it based on feel.
304400	306680	Shift down to first and use the inside curbs.
306680	310760	Quickly change direction, short shift and again use the flat section of curbing while on
310760	313320	throttle to optimise your exit speed.
313320	316600	Try and let the yellow sausage curb hold your car online, if you understood over the top
316600	319960	of that curb your car can bottom out and you will lose exit speed and receive a try
319960	320960	limits warning.
320960	323800	So just be careful not to put on too much power too soon.
323800	327240	The last corner is simple enough flat out, just make sure you kiss the inside white line
327240	330000	midway through the corner to avoid any understeer.
330000	334000	Use the exit curb and that is a lap of the circuit de Barcelona Catalonia.
334000	336960	Now let's take a look at it in full speed to give you some context as to how it all
426960	442120	looks.
442120	444920	This is the lap time I managed to set in this video, as well as a couple of reference
444920	446640	laps for you guys to aim for.
446640	449640	The AM lap represents a good starting point when you're first learning the circuit, the
449640	453280	Pro AM lap is a good place to be if you're looking to be competitive online, and of course
453280	455680	the Pro lap is for the fastest guys in the world.
455680	459120	Hopefully you've managed to pinpoint a few areas where you can improve your lap times.
459120	462280	When it comes to ACC, always bear in mind that there's a huge amount of variables at
462280	464120	play compared to most games.
464120	467360	Some cars can be up to a second off the pace and a track that doesn't suit them.
467360	470440	Temperatures and track grip levels can also play a big part, so don't worry too much
470440	474000	about your ultimate lap time, just focus on getting each corner right and results will
474000	475920	begin to swing your way.
475920	479120	Just before we finish up, I'm going to attempt to summarise the key points about this circuit
479120	480120	in 10 seconds.
480120	484240	You never know, it might just come in handy if you have 35 seconds until your race starts,
484240	487320	but you've done no practice, and you have your YouTube tab open.
487320	489400	Use all this space and entry and roll through to turn one use curves, but not the blocks
489400	492400	focus on late effects to keep the car nicely in line for a turn 3, 4 or 5 car speed and
492400	495160	early for 7 don't break for 9, abuse the curve and for 10 and 11 keep it tight for 12 and
495160	498360	13 smooth to the chicane, wash the high curves and focus on your exit.
498360	500800	Thanks very much for tuning in, and hopefully you enjoyed the video.
500800	503760	If you did, we would love it if you could leave us a like and subscribe to the traction
503760	504760	channel.
504760	507320	This will help us grow as quickly as possible, allowing us to bring you more and more
507320	509800	helpful and exciting content in the future.
509800	512400	Until next time, keep it pinned, thank you, and goodbye.
