start	end	text
499840	505000	going to actually trail break as we turn into the corner as well our apex point is going
505000	509440	to be mid to late in the turn you basically just want to hug that inside curve all the
509440	514400	way through the corner be careful with it in the dry conditions as a can sometimes unsettle
514400	519960	the car and obviously avoid it in the wet conditions but when we come out through the exit
519960	523760	we're going to use the exit curve that is out here although there isn't too much space
523760	528800	beyond it so make sure that you don't dip your wheels too far out our out into the gravel
528800	535160	obviously use it in the dry conditions however do avoid it in the wet and rainy conditions
535160	540400	and then we come into the breaking zone for turn 13 again light turn five there's no
540400	545360	real reference point for the breaking zone coming into this corner is literally just
545360	551400	basically judged off of feel and general flow but when we turn the car in we're going
551400	556120	to aim to apex here on the red and white serrated curve which we can use in both the dry
556120	561040	and wet conditions what we need to be careful of is the large sausage curve on the inside
561040	565920	here we do not want to be clipping that as that will very heavily unsettle the car and
565920	570160	then when we come out through the exit whilst we want to try and maximize the width of
570160	574680	the track we don't actually want to be running out onto the curb on the outside here so try
574680	579680	and avoid it in both the dry and wet conditions as what we'll need to do is try and bring the
579680	585880	car back as far right to open up the breaking zone for turns 14 and 15 this is going to
585960	590640	be our breaking point just before we get to the gantry that extends over the circuit we're
590640	595080	going to shift the car down into first gear and turn into the first of the two apexes
595080	600400	for the chicane both of the two apexes should be on the red and white rumble strip curbing
600400	605600	you want to avoid the large red sausage curbs on the inside of both apexes as clipping
605600	610040	these will bounce and unsettle the car and likely take you off the ideal line that you
610040	614680	want to be taking in order to get through the chicane smoothly coming out 3d exit of
614680	619320	the chicane we got a sun-concerated curb to contend with along with a long yellow sausage
619320	624080	curve that is there in the dry conditions a number of drivers and cars will be able
624080	628520	to take this curve to try and maximize the speed coming off of the corner you want to
628520	633800	avoid it in the wet conditions as the slippery painted surfaces will cost you the traction
633800	639120	and then we come into the final corner itself turns 16 there's no breaking zone for this
639120	642840	corner so it's literally just trying to take a nice smooth line coming through the
642840	647040	turn we're going to clip the apex at midway point we're going to stay off the inside
647040	651640	curve coming through the corners it can potentially unsettle the car in both the dry and also
651640	656600	the wet conditions and then as we come out 3d exit what to unwind the wheel keep your foot
656600	662720	fully planted maximize the exit curbing out here staying with two wheels on that red
662720	668480	and white serrated curve because extending over that we'll see you infringing track limits
668480	672360	and obviously in the wet conditions you'll probably want to be avoiding this curve pretty
672360	676840	much entirely as it will likely light up the rear tires and then cost you the run to
676840	681800	the start finish line to complete your lap so now that we've done a breakdown of all
681800	685160	the corners let's jump in the car and see how it looks piece together
793000	800360	so now that we've finished a semi-decent lap around Catalonia I just want to finish off the
800360	806440	episode by saying please be mindful of what your car and car setup is capable of some cars
806440	812200	will be able to break a little bit later than others some cars will be able to take curves better
812200	817400	than others so obviously going to be dependent on your car setup might have a slight factor as
817400	822680	well and then obviously the weather conditions are going to play a factor too obviously I've tried
822680	828200	to highlight these things where possible but please do take note and obviously apply accordingly
828200	833240	to the session race or conditions that you're driving in other than that thank you very much for
833240	837640	watching the episode if you enjoyed it please give it a like and if you want to support the
837640	842120	channel please consider subscribing and if you hit the bell notification you'll be notified each
842120	847320	time a video goes live and you won't miss out on any future content I hope to see you back for
847320	852520	the next one until then have fun stay safe and take care
